,nr,year,school,exper,union,ethn,maried,health,wage,placa,industry,occupation,residence
1,13,1980,14,1,no,other,no,no,1.197540205,3.311960151,Business_and_Repair_Service,Service_Workers,north_east
2,13,1981,14,2,yes,other,no,no,1.853059995,6.379310345,Personal_Service,Service_Workers,north_east
3,13,1982,14,3,no,other,no,no,1.344461678,3.836120914,Business_and_Repair_Service,Service_Workers,north_east
4,13,1983,14,4,no,other,no,no,1.433213336,4.192148353,Business_and_Repair_Service,Service_Workers,north_east
5,13,1984,14,5,no,other,no,no,1.56812508,4.797644557,Personal_Service,"Craftsmen, Foremen_and_kindred",north_east
6,13,1985,14,6,no,other,no,no,1.699890942,5.473350445,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
7,13,1986,14,7,no,other,no,no,-0.720262576,0.486624463,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
8,13,1987,14,8,no,other,no,no,1.669187917,5.307855626,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
9,17,1980,13,4,no,other,no,no,1.675962404,5.343935702,Trade,"Managers, Officials_and_Proprietors",north_east
10,17,1981,13,5,no,other,no,no,1.518398202,4.564907276,Trade,"Managers, Officials_and_Proprietors",north_east
11,17,1982,13,6,no,other,no,no,1.559190477,4.75497043,Trade,"Managers, Officials_and_Proprietors",north_east
12,17,1983,13,7,no,other,no,no,1.725410089,5.614823133,Trade,"Managers, Officials_and_Proprietors",north_east
13,17,1984,13,8,no,other,no,no,1.622022321,5.063319625,Trade,"Managers, Officials_and_Proprietors",north_east
14,17,1985,13,9,no,other,no,no,1.608588274,4.99575361,Construction,Laborers_and_farmers,north_east
15,17,1986,13,10,no,other,no,no,1.572385414,4.818127724,Construction,Laborers_and_farmers,north_east
16,17,1987,13,11,no,other,no,no,1.820333856,6.173919307,Construction,"Craftsmen, Foremen_and_kindred",north_east
17,18,1980,12,4,no,other,yes,no,1.515962749,4.553803185,Trade,Clerical_and_kindred,NA
18,18,1981,12,5,no,other,yes,no,1.735379136,5.671077505,Trade,Clerical_and_kindred,NA
19,18,1982,12,6,no,other,yes,no,1.63174367,5.112781955,Manufacturing,"Managers, Officials_and_Proprietors",NA
20,18,1983,12,7,no,other,yes,no,1.998228811,7.375980268,Trade,Sales_Workers,NA
21,18,1984,12,8,no,other,yes,no,2.18401422,8.881888645,Trade,Sales_Workers,NA
22,18,1985,12,9,no,other,yes,no,2.266662239,9.647147147,Trade,Sales_Workers,NA
23,18,1986,12,10,no,other,yes,no,2.06994393,7.924378785,Trade,Sales_Workers,NA
24,18,1987,12,11,no,other,yes,no,2.873160721,17.69285209,Trade,Sales_Workers,NA
25,45,1980,12,2,yes,other,no,no,1.894114981,6.646663375,Transportation,Laborers_and_farmers,north_east
26,45,1981,12,3,yes,other,no,no,1.471159283,4.35428006,Transportation,Operatives_and_kindred,north_east
27,45,1982,12,4,no,other,no,no,1.473497492,4.364473188,Manufacturing,Operatives_and_kindred,north_east
28,45,1983,12,5,no,other,no,no,1.740914275,5.702554744,Manufacturing,Operatives_and_kindred,north_east
29,45,1984,12,6,no,other,no,no,1.823213714,6.191724941,Business_and_Repair_Service,Operatives_and_kindred,north_east
30,45,1985,12,7,no,other,no,no,1.908272857,6.741435313,Manufacturing,Operatives_and_kindred,north_east
31,45,1986,12,8,no,other,no,no,1.742447363,5.711303969,Transportation,Clerical_and_kindred,north_east
32,45,1987,12,9,no,other,yes,no,2.135688916,8.462874705,Construction,Clerical_and_kindred,north_east
33,110,1980,12,5,yes,other,no,no,1.948774855,7.020081688,Professional_and_Related Service,Clerical_and_kindred,north_east
34,110,1981,12,6,no,other,no,no,1.962259287,7.115384616,Professional_and_Related Service,Clerical_and_kindred,north_east
35,110,1982,12,7,no,other,no,no,1.963296825,7.122770929,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
36,110,1983,12,8,no,other,no,no,2.202515633,9.047745698,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
37,110,1984,12,9,no,other,yes,no,2.134954252,8.456659619,Trade,"Professional, Technical_and_kindred",north_east
38,110,1985,12,10,no,other,yes,no,2.12582282,8.379789712,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
39,110,1986,12,11,no,other,yes,no,1.991016671,7.322975038,Finance,Clerical_and_kindred,north_east
40,110,1987,12,12,no,other,yes,no,2.112393353,8.268005879,Finance,Clerical_and_kindred,north_east
41,120,1980,10,2,no,other,no,no,0.258554863,1.295057198,Trade,Service_Workers,north_east
42,120,1981,10,3,no,other,no,no,1.319971718,3.743315508,Trade,Service_Workers,north_east
43,120,1982,10,4,no,other,no,no,1.462085287,4.314948059,Trade,Service_Workers,north_east
44,120,1983,10,5,no,other,no,no,1.320286919,3.744495592,Trade,Service_Workers,north_east
45,120,1984,10,6,no,other,no,no,1.703646556,5.493944888,Entertainment,Service_Workers,north_east
46,120,1985,10,7,no,other,no,no,1.445803206,4.245260591,Trade,Service_Workers,north_east
47,120,1986,10,8,no,other,no,no,1.8063641,6.088270794,Finance,Clerical_and_kindred,north_east
48,120,1987,10,9,no,other,no,no,2.148120177,8.56873554,Business_and_Repair_Service,Clerical_and_kindred,north_east
49,126,1980,13,2,no,other,no,no,1.737285489,5.681898891,Trade,Sales_Workers,north_east
50,126,1981,13,3,no,other,no,no,1.989600838,7.31261426,Trade,"Managers, Officials_and_Proprietors",north_east
51,126,1982,13,4,no,other,no,no,2.189916837,8.934470066,Trade,"Managers, Officials_and_Proprietors",north_east
52,126,1983,13,5,no,other,no,no,1.855463217,6.394659679,Trade,Sales_Workers,north_east
53,126,1984,13,6,no,other,no,no,1.922437793,6.837606838,Trade,Sales_Workers,north_east
54,126,1985,13,7,no,other,yes,no,2.061023956,7.854007854,Trade,Sales_Workers,north_east
55,126,1986,13,8,no,other,yes,no,1.782201624,5.942926112,Trade,Sales_Workers,north_east
56,126,1987,13,9,no,other,yes,no,2.414681578,11.18620785,Trade,"Managers, Officials_and_Proprietors",north_east
57,150,1980,12,2,no,other,no,no,1.208735301,3.349246184,Business_and_Repair_Service,Operatives_and_kindred,north_east
58,150,1981,12,3,no,other,no,no,1.194039663,3.300386764,Business_and_Repair_Service,Operatives_and_kindred,north_east
59,150,1982,12,4,no,other,no,no,1.170440572,3.223412469,Business_and_Repair_Service,Operatives_and_kindred,north_east
60,150,1983,12,5,no,other,no,no,1.097964499,2.998057259,Business_and_Repair_Service,Operatives_and_kindred,north_east
61,150,1984,12,6,no,other,no,no,0.765816189,2.150749075,Business_and_Repair_Service,Service_Workers,north_east
62,150,1985,12,7,no,other,no,no,1.119025979,3.061870424,Business_and_Repair_Service,Service_Workers,north_east
63,150,1986,12,8,no,other,no,no,1.11936672,3.062913907,Business_and_Repair_Service,Operatives_and_kindred,north_east
64,150,1987,12,9,yes,other,no,no,0.831459508,2.2966683,Business_and_Repair_Service,Service_Workers,north_east
65,162,1980,11,2,yes,other,no,no,0.502470152,1.652798897,Trade,Clerical_and_kindred,north_east
66,162,1981,11,3,no,other,no,no,1.06491237,2.900584795,Professional_and_Related Service,Clerical_and_kindred,north_east
67,162,1982,11,4,no,other,no,no,1.189497943,3.28543132,Manufacturing,Sales_Workers,north_east
68,162,1983,11,5,no,other,no,no,1.539888529,4.664070334,Trade,Laborers_and_farmers,north_east
69,162,1984,11,6,no,other,no,no,1.598286041,4.944550399,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
70,162,1985,11,7,no,other,no,no,1.737320692,5.682098918,Trade,"Managers, Officials_and_Proprietors",north_east
71,162,1986,11,8,no,other,no,no,1.988455851,7.304246202,Trade,"Managers, Officials_and_Proprietors",north_east
72,162,1987,11,9,no,other,no,no,2.158678434,8.659685745,Professional_and_Related Service,"Managers, Officials_and_Proprietors",south
73,166,1980,10,2,yes,other,no,no,1.005294006,2.732710587,Trade,Laborers_and_farmers,north_east
74,166,1981,10,3,yes,other,no,no,0.937687371,2.554067971,Trade,Laborers_and_farmers,north_east
75,166,1982,10,4,yes,other,no,no,1.367487705,3.925476342,Trade,Laborers_and_farmers,north_east
76,166,1983,10,5,yes,other,no,no,1.378008782,3.966994605,Trade,Clerical_and_kindred,north_east
77,166,1984,10,6,yes,other,no,no,1.170183481,3.222583868,Trade,Clerical_and_kindred,north_east
78,166,1985,10,7,no,other,no,no,1.728221448,5.63063063,Trade,"Craftsmen, Foremen_and_kindred",north_east
79,166,1986,10,8,no,other,yes,no,1.70986475,5.528213735,Trade,"Managers, Officials_and_Proprietors",north_east
80,166,1987,10,9,no,other,yes,no,1.851074786,6.366658639,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
81,189,1980,14,2,no,other,no,no,1.130545336,3.097345133,Trade,Clerical_and_kindred,north_east
82,189,1981,14,3,no,other,no,no,0.836248024,2.307692308,Trade,Clerical_and_kindred,north_east
83,189,1982,14,4,no,other,no,no,1.467359814,4.337767495,Trade,Clerical_and_kindred,north_east
84,189,1983,14,5,no,other,no,no,1.071483621,2.919708029,Trade,Sales_Workers,north_east
85,189,1984,14,6,no,other,no,no,1.445919483,4.245754246,Trade,Clerical_and_kindred,north_east
86,189,1985,14,7,no,other,no,no,1.685116348,5.393078369,Trade,Sales_Workers,north_east
87,189,1986,14,8,no,other,no,no,1.686174979,5.398790671,Manufacturing,Clerical_and_kindred,north_east
88,189,1987,14,9,no,other,no,no,1.755130347,5.784201644,Manufacturing,Clerical_and_kindred,north_east
89,193,1980,14,2,no,other,no,no,1.565691895,4.785985191,Manufacturing,"Professional, Technical_and_kindred",north_east
90,193,1981,14,3,no,other,no,no,2.49387532,12.10810811,Manufacturing,"Professional, Technical_and_kindred",north_east
91,193,1982,14,4,no,other,no,no,1.822662074,6.188310282,Manufacturing,"Professional, Technical_and_kindred",north_east
92,193,1983,14,5,no,other,no,no,2.380336056,10.80853453,Manufacturing,"Professional, Technical_and_kindred",north_east
93,193,1984,14,6,no,other,no,no,2.217128496,9.180929897,Manufacturing,"Professional, Technical_and_kindred",north_east
94,193,1985,14,7,no,other,yes,no,2.272031436,9.699083885,Manufacturing,"Professional, Technical_and_kindred",north_east
95,193,1986,14,8,no,other,yes,no,2.353798732,10.52547734,Manufacturing,"Professional, Technical_and_kindred",north_east
96,193,1987,14,9,no,other,yes,no,2.429450034,11.3526368,Manufacturing,"Professional, Technical_and_kindred",north_east
97,209,1980,11,3,no,other,no,no,1.918003196,6.80735194,Trade,Service_Workers,north_east
98,209,1981,11,4,no,other,no,no,0.765407748,2.149870801,Trade,Service_Workers,north_east
99,209,1982,11,5,no,other,no,no,1.978185438,7.229612493,Trade,Service_Workers,north_east
100,209,1983,11,6,no,other,no,no,1.94855364,7.018528916,Trade,Service_Workers,north_east
101,209,1984,11,7,no,other,no,no,2.037025938,7.667770825,Entertainment,Service_Workers,north_east
102,209,1985,11,8,no,other,no,no,1.902574836,6.703131703,Trade,"Managers, Officials_and_Proprietors",north_east
